Date,Observer,LEGNO,Frame ,Area of Image,Time,SPEC CODE,Number,IDREL,CONF,Birds (Y/N),General Notes,# of Culled Images,Reviewer Notes,Reviewed,Added to URI,ORIGINAL SPEC CODE,SightDouble
10/12/23,SYH,96,121,9,93716,DE-U,1,9,0,N ,,,,√,,,501
10/12/23,SYH,96,124,"15, 25, 31, 32",93725,UNBI,5,3,0,Y,,,,√,,,502
10/12/23,SYH,96,156,30,93901,DE-U,1,9,0,N ,,,,√,,,503
10/12/23,SYH,96,190,"12, 34",94043,UNBI,3,3,0,Y,,,,√,,,504
10/12/23,SYH,96,198,29,94107,DE-R,1,9,0,N ,,,,√,,,505
10/12/23,SYH,96,207,9,94134,UNBI,9,3,1,Y,,,,√,,,506
10/12/23,SYH,96,210,9,94143,DE-U,1,9,0,N ,,,,√,,,507
10/12/23,SYH,96,228,17,94237,DE-U,1,9,0,N ,,,,√,,,508
10/12/23,SYH,96,232,5,94249,DE-U,1,9,0,N ,,,,√,,,509
10/12/23,SYH,96,340,19,94814,DE-U,1,9,0,N ,,,,√,,,510
10/12/23,SYH,96,362,10,94920,DE-U,1,9,0,N ,,,,√,,,511
10/12/23,SYH,96,365,5,94929,DE-U,1,9,0,N ,,,,√,,,512
10/12/23,SYH,96,407,16,95135,DE-U,1,9,0,N ,,,,√,,,513
10/12/23,SYH,96,416,scattered,95203,UNBI,14,3,0,Y,,,,√,,,514
10/12/23,SYH,96,417,scattered,95206,UNBI,18,3,0,Y,,,,√,,,515
10/12/23,SYH,96,421,3,95218,UNBI,1,3,0,Y,,,,√,,,516
10/12/23,SYH,96,431,9,95248,UNBI,1,3,0,Y,,,,√,,,517
10/12/23,SYH,96,433,19/20,95254,UNBI,1,3,0,Y,,,,√,,,518
10/12/23,SYH,96,434,10,95257,UNBI,1,3,0,Y,,,,√,,,519
10/12/23,SYH,96,440,12,95315,UNBI,2,3,0,Y,,,,√,,,520
10/12/23,SYH,96,441,scattered,95318,UNBI,49,3,2,Y,,,,√,,,521
10/12/23,SYH,96,482,"2, 3, 4",95521,UNBI,7,3,1,Y,,,,√,,,522
10/12/23,SYH,96,483,scattered,95524,UNBI,23,3,1,Y,,,,√,,,523
10/12/23,SYH,96,484,"29, 30",95527,UNBI,2,3,0,Y,,,,√,,,524
10/12/23,SYH,96,485,scattered,95530,UNBI,10,3,0,Y,,,,√,,,525
10/12/23,SYH,96,486,scattered,95533,UNBI,17,3,0,Y,,,,√,,,526
10/12/23,SYH,96,487,18,95536,UNBI,1,3,0,Y,,,,√,,,527
10/12/23,SYH,96,500,16,95615,UNBI,1,3,0,Y,,,,√,,,528
10/12/23,SYH,96,501,scattered,95618,UNBI,41,3,1,Y,,,,√,,,529
10/12/23,KRM,88,617,scattered,100207,UNBI,11,3,1,Y,,,,√,,,530
10/12/23,KRM,88,617,19,100207,DE-U,1,9,0,N,this might be a little piece of debris next to a bird,,,√,,,531
10/12/23,KRM,88,618,"21, 36",100210,UNBI,4,3,0,Y,,,,√,,,532
10/12/23,KRM,88,645,33,100331,DE-R,1,9,0,N,,,,√,,,533
10/12/23,KRM,88,691,2,100549,DE-U,1,9,0,N,unsure if debris or glare,I think debris since there aren't any other glare spots,,√,,UNID,534
10/12/23,KRM,88,732,10,100752,BLSH,1,3,0,N,,,,√,,,535
10/12/23,KRM,88,747,14,100837,DE-U,1,9,0,N,might be debris? Looks sort of clear compared to the seaweed in frame,,,√,,UNID,536
10/12/23,KRM,88,752,8,100852,DE-U,1,9,0,N,debris?,,,√,,UNID,537
10/12/23,KRM,88,755,32,100901,DE-U,1,9,0,N,maybe small piece - looks rectangular,,,√,,UNID,538
10/12/23,KRM,88,759,1,100913,DE-U,1,9,0,N,glare or debris?,,,√,,UNID,539
10/12/23,KRM,88,761,19,100920,DE-U,1,9,0,N,,,,√,,,540
10/12/23,KRM,88,769,7,100944,UNID,1,9,0,N,maybe small piece of debris,,,√,,,541
10/12/23,KRM,88,781,19,101020,UNBI,1,3,0,Y,,,,√,,,542
10/12/23,KRM,88,971,34,101951,UNBI,1,3,0,Y,,,,√,,,543
10/12/23,KRM,88,1047,5,102339,UNID,1,9,0,?,not sure if bird or debris,"I'm leaning towards bird - agree, bird",,√,,,544
10/12/23,KRM,88,1072,35,102454,DE-U,1,9,0,N,I think this is a small piece,,,√,,,545
10/12/23,KRM,88,1079,12,102515,DE-U,1,9,0,N,,,,√,,,546
10/12/23,KRM,88,1100,33,102618,DE-B,1,9,0,N,,,,√,,,547
10/12/23,KRM,80,1278,21,103513,DE-U,1,9,0,N,so calm that I don't think this is a glare/water spot,,,√,,,548
10/12/23,KRM,80,1295,18,103605,MIWH,1,3,0,N,,,,√,,,549
10/12/23,KRM,80,1404,21,104132,UNBI,13,3,0,Y,scoters?,,,√,,,550
