Date,Observer,LEGNO,Frame ,Area of Image,Time,SPEC CODE,Number,IDREL,CONF,Birds (Y/N),General Notes,# of Culled Images,Reviewer Notes,Reviewed,Added to URI,ORIGINAL SPEC CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2023,MB,33,1655,17,103646,SPFV,1,9,0,N,4/- (EVENTNO 2473 IN URI),,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2023,MB,33,1662,"11, 29",103721,SPFV,2,9,0,N,4/- (EVENTNO 2473 IN URI),,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2023,MB,33,1673,14,103816,SPFV,1,9,0,N,4/- SAME AS FRAME 1662,,agree,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2023,MB,33,1721,35,104216,SPFV,1,9,0,N,4/- SAME AS FRAME 1662?,,not sure but probably a repeat anyways?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2023,MB,33,1722,20,104221,SPFV,1,9,0,N,4/- SAME AS FRAME 1662,,don't think so but i'm sure we marked a bunch here anyways,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2023,MB,33,1730,"19, 21",104301,SPFV,2,9,0,Y,"4/- I THINK THESE ARE TWO NEW ONES, NOT IN URI (LOOKS LIKE THE BOAT ON THE LEFT CAUGHT A TUNA!) ADD BEHAV 71 TO URI",,"very neat - at least add behav to some/a boat, if not add a full speccode",?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2023,MB,33,1743,7,104406,RECV,1,9,0,Y,"4/- ANOTHER TUNA! LIKELY NEW AND NOT IN URI, ADD BEHAV 71 TO URI",,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2023,MB,33,1744,9,104411,HUWH,2,3,0,Y,4/- EVENTNO 2500 IN URI,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2023,MB,33,1602,"17, 18",103220,RECV,2,9,0,Y,"WITH TUNA ON RIGHT, ADD BEHAV 71 TO URI",,very cool,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2023,MB,33,1602,SCATTERED,103220,UNBI,75,3,9,Y,SCATTERED BUT CONDENSED AROUND AREA 12,,hard to count the birds that are very close together but i think closer to at least 75,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
