Date,Observer,LEGNO,Frame ,Area of Image,Time,SPEC CODE,Number,IDREL,CONF,Birds (Y/N),General Notes,# of Culled Images,Reviewer Notes,Reviewed,Added to URI,PASight
11/6/23,SYH,7,127,22,81421,DE-U,1,9,0,N ,maybe fg-u but putting de-u to be conservative,,,√,,501
11/6/23,SYH,7,141,24,81503,UNBI,1,3,0,Y,,,,√,,502
11/6/23,SYH,7,142,"5/6, 13",81506,UNBI,2,3,0,Y,,,,√,,503
11/6/23,SYH,7,178,"20, 21",81654,UNBI,9,3,0,Y,,,,√,,504
11/6/23,SYH,7,332,24,82437,DE-U,1,9,0,N ,,,,√,,505
11/6/23,SYH,7,333,16/17,82440,DE-U,1,9,0,N ,,,,√,,506
11/6/23,KRM,15,516,26/27,83350,DE-B,1,9,0,N,,,,√,,507
11/6/23,KRM,15,581,14,83706,DE-U,1,9,0,N,could be buoy but put de-u to be conservative,,,√,,508
11/6/23,KRM,15,597,29/30,83754,FG-U,1,9,0,N,I think these are buoys but blurry so would be fine with DE-U,,agree fg,√,,509
11/6/23,KRM,15,598,5,83756,DE-U,1,9,0,N,maybe buoy,,,√,,510
11/6/23,KRM,15,604,27,83814,DE-U,1,9,0,N,maybe buoy,,,√,,511
11/6/23,KRM,15,731,8,84436,DE-U,1,9,0,N,this may be fg-u but can't really tell,,,√,,512
11/6/23,KRM,23,986,4,85722,UNBI,1,3,0,Y,,,,√,,513
11/6/23,KRM,23,1213,13/14,90844,UNBI,1,3,0,Y,,,,√,,514
11/6/23,KRM,23,1214,24,90848,UNBI,1,3,0,Y,,,,√,,515
11/6/23,SYH,31,1410,28,91837,UNBI,1,3,0,Y,,,,√,,516
11/6/23,SYH,31,1411,31,91840,UNBI,1,3,0,Y,,,,√,,517
11/6/23,SYH,31,1435,27,91952,DE-B,1,9,0,N ,,,,√,,518
11/6/23,SYH,31,1440,26/27,92007,DE-B,1,9,0,N,I think another de-b but missing string,,,√,,519
11/6/23,SYH,31,1579,9,92705,UNBI,1,3,0,Y,,,,√,,520
11/6/23,SYH,31,1620,16,92909,UNBI,1,3,0,Y,,,,√,,521
11/6/23,SYH,31,1643,5,93018,UNBI,1,3,0,Y,,,,√,,522
11/6/23,SYH,31,1645,"2, 7, 16",93024,UNBI,3,3,0,Y,,,,√,,523
11/6/23,SYH,31,1646,scattered,93027,UNBI,15,3,1,Y,,,,√,,524
11/6/23,SYH,31,1647,"22, 23, 29, 30",93030,UNBI,18,3,2,Y,,,,√,,525
11/6/23,SYH,31,1648,33/34,93033,UNSE,1,2,0,N ,maybe another one in 21 but could just be water,,yes i think one in 21 as well,√,,526
11/6/23,SYH,31,1651,15,93042,UNBI,1,2,0,Y,I think flying - black spot with two white spots,,yes,√,,527
11/6/23,SYH,31,1697,23/24,93300,UNBI,1,3,0,Y,,,,√,,528
11/6/23,SYH,31,1703,20,93318,UNBI,1,3,0,Y,,,,√,,529
11/6/23,SYH,39,1884,23/24,94222,UNBI,1,3,0,Y,,,,√,,530
11/6/23,SYH,39,1905,21,94326,FG-U,1,9,0,N ,,,,√,,531
11/6/23,SYH,39,1995,26,94756,UNBI,1,3,0,Y,,,,√,,532
11/6/23,SYH,39,2007,8,94832,DE-U,1,9,0,N ,,,,√,,533
11/6/23,SYH,39,2019,10,94908,FG-U,1,9,0,N ,,,,√,,534
11/6/23,SYH,39,2045,13,95026,UNBI,1,3,0,Y,,,,√,,535
11/6/23,SYH,39,2062,7,95117,FG-U,1,9,0,N ,,,,√,,536
11/6/23,SYH,39,2099,4,95309,UNBI,1,3,0,Y,,,,√,,537
11/6/23,SYH,39,2100,"24, 31",95312,UNBI,2,3,0,Y,,,,√,,538
11/6/23,SYH,39,2116,20,95400,UNBI,1,3,0,Y,,,,√,,539
11/6/23,SYH,39,2119,22,95409,DE-B,1,9,0,N,,,,√,,540
11/6/23,SYH,39,2126,12,95430,UNBI,2,3,0,Y,,,,√,,541
11/6/23,SYH,39,2129,11,95439,DE-U,1,9,0,N ,,,,√,,542
11/6/23,SYH,39,2133,2,95451,UNBI,1,3,0,Y,,,,√,,543
11/6/23,SYH,39,2136,16,95500,UNBI,1,3,0,Y,,,,√,,544
11/6/23,SYH,39,2168,9,95636,DE-B,1,9,0,N,,,,√,,545
11/6/23,SYH,39,2171,23,95645,DE-B,1,9,0,N ,,,,√,,546
11/6/23,SYH,39,2222,17,95918,FG-U,1,9,0,N ,,,,√,,547
11/6/23,KRM,47,2439,18/19,101010,UNBI,3,3,0,Y,,,,√,,548
11/6/23,KRM,47,2444,"6, 34/35",101026,UNBI,2,3,0,Y,,,,√,,549
11/6/23,KRM,47,2459,17,101110,UNBI,1,3,0,Y,,,,√,,550
11/6/23,KRM,47,2462,scattered,101120,UNBI,4,3,0,Y,not sure if 27 is a small bird SIW,,it could be? not sure,√,,551
11/6/23,KRM,47,2462,10,101120,UNBI,1,3,0,Y,,,,√,,552
11/6/23,KRM,47,2463,28,101122,UNBI,1,9,0,?,not sure if bird or debris,,based on how many small birds there have been i think this is probably a bird,√,,553
11/6/23,KRM,47,2471,14/21,101146,UNBI,1,3,0,Y,,,,√,,554
11/6/23,KRM,47,2472,5,101150,UNBI,1,3,0,Y,this and previous few frames may be terns,,,√,,555
11/6/23,KRM,47,2484,17,101226,UNBI,1,3,0,Y,,,,√,,556
11/6/23,KRM,47,2487,27,101234,UNBI,1,3,0,Y,,,,√,,557
11/6/23,KRM,47,2499,34,101310,UNBI,1,3,0,Y,,,,√,,558
