rectype,month,day,year,eventno,time,lat,long,heading,alt,legtype,legstage,legno,visiblty,glarel,glarer,beaufort,cloud,wx,sightno,anglel,angler,speccode,number,numcalf,anhead,photos,idrel,confidnc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,refno,stratum,utc,radalt,gpsspeed,setalt,setvel,lensfl,ggf,int,gpsq,gpssats,roll,pitch,yaw,maghead,notes,edits,glarev,ph_qual,TrackDist
S,2,12,2023,679,81134,41.3813142,-71.24163896,222,334,1,-,,5,,,4,4,C,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4,1000,100,,,,,,,,,,ON WATCH BEGIN SURVEY - ,ON WATCH BEGIN SURVEY - ,,,0.12156403
X,2,12,2023,680,81134,41.38131333,-71.24164,222,334,1,-,,5,,,4,4,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4,1000,100,,,,,,,,,,,,,,0.12163411
X,2,12,2023,681,81139,41.379765,-71.24352667,223,328,1,-,,5,,,4,4,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,1000,100,,,,,,,,,,,,,,0.125961296
X,2,12,2023,682,81144,41.37817667,-71.24537333,221,327,1,-,,5,,,4,4,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.8,1000,100,,,,,,,,,,,,,,0.126553515
X,2,12,2023,683,81149,41.37657167,-71.24717167,220,332,1,-,,5,,,4,4,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.4,1000,100,,,,,,,,,,,,,,0.125898373
X,2,12,2023,684,81154,41.37494333,-71.248935,219,335,1,-,,5,,,4,4,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,1000,100,,,,,,,,,,,,,,0.125974822
X,2,12,2023,685,81159,41.373285,-71.25068167,218,337,1,-,,5,,,4,4,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.3,1000,100,,,,,,,,,,,,,,0.126912023
X,2,12,2023,686,81204,41.37156333,-71.25238333,216,341,1,-,,5,,,4,4,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8,1000,100,,,,,,,,,,,,,,0.128699843
X,2,12,2023,687,81209,41.36978167,-71.25402667,215,348,1,-,,5,,,4,4,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4,1000,100,,,,,,,,,,,,,,0.130098314
X,2,12,2023,688,81214,41.36795333,-71.255665,214,345,1,-,,5,,,4,4,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1,1000,100,,,,,,,,,,,,,,0.132287038
