"rectype","month","day","year","eventno","time","lat","long","heading","alt","legtype","legstage","legno","visiblty","glarel","glarer","beaufort","cloud","wx","sightno","anglel","angler","speccode","number","numcalf","anhead","photos","idrel","confidnc","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","refno","stratum","utc","radalt","gpsspeed","setalt","setvel","lensfl","ggf","int","gpsq","gpssats","roll","pitch","yaw","maghead","notes","edits","glarev","ph_qual","TrackDist"
"S",3,17,2023,536,84704,41.11121074428,-69.9443911700753,103,319,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.3,1000,100,"","","","","","","","","","","","","",0.1055201862
"X",3,17,2023,537,84705,41.1111116666667,-69.943825,104,320,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.2,1000,100,"","","","","","","","","","","","","",0.1318135537
"X",3,17,2023,538,84710,41.11061,-69.9410433333333,104,323,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.5,1000,100,"","","","","","","","","","","","","",0.1293883983
"X",3,17,2023,539,84715,41.1100866666667,-69.93828,104,325,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93,1000,100,"","","","","","","","","","","","","",0.1288938671
"X",3,17,2023,540,84720,41.1095716666667,-69.93553,104,326,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",92.7,1000,100,"","","","","","","","","","","","","",0.1281883322
"X",3,17,2023,541,84725,41.1090466666667,-69.932785,104,327,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93,1000,100,"","","","","","","","","","","","","",0.1281161876
"X",3,17,2023,542,84730,41.108545,-69.9300416666667,103,327,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",92.1,1000,100,"","","","","","","","","","","","","",0.1277063919
"X",3,17,2023,543,84735,41.108075,-69.92728,103,325,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93,1000,100,"","","","","","","","","","","","","",0.1280811339
"X",3,17,2023,544,84740,41.1076216666667,-69.9244966666667,102,325,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.1,1000,100,"","","","","","","","","","","","","",0.1288231281
"X",3,17,2023,545,84745,41.107215,-69.9216866666667,100,325,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.4,1000,100,"","","","","","","","","","","","","",0.1294457043
"X",3,17,2023,546,84750,41.1069483333333,-69.918845,96,326,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.6,1000,100,"","","","","","","","","","","","","",0.1295485157
"X",3,17,2023,547,84755,41.1068466666667,-69.9159816666667,92,326,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.8,1000,100,"","","","","","","","","","","","","",0.1296796215
"X",3,17,2023,548,84800,41.10677,-69.9131066666667,92,326,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.3,1000,100,"","","","","","","","","","","","","",0.1301452795
"X",3,17,2023,549,84805,41.1067183333333,-69.9102266666667,91,325,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.2,1000,100,"","","","","","","","","","","","","",0.1303270997
"X",3,17,2023,550,84810,41.1067,-69.9073216666667,90,324,1,"-","",5,"","",3,3,"C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.2,1000,100,"","","","","","","","","","","","","",0.1314258468
