rectype,month,day,year,eventno,time,lat,long,heading,alt,legtype,legstage,legno,visiblty,glarel,glarer,beaufort,cloud,wx,sightno,anglel,angler,speccode,number,numcalf,anhead,photos,idrel,confidnc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,refno,stratum,utc,radalt,gpsspeed,setalt,setvel,lensfl,ggf,int,gpsq,gpssats,roll,pitch,yaw,maghead,notes,edits,glarev,ph_qual,TrackDist
S,5,18,2023,329,92129,41.38761189,-71.26186548,185,479,1,-,,5,,,2,1,C,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.6,1000,100,,,,,,,,,,"ON WATCH, BEGIN SURVEY",,,,0.116610651
X,5,18,2023,330,92130,41.38698833,-71.26195333,183,479,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.2,1000,100,,,,,,,,,,,,,,0.154258096
X,5,18,2023,331,92135,41.38443833,-71.26156,170,474,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.2,1000,100,,,,,,,,,,,,,,0.154125024
X,5,18,2023,332,92140,41.38201833,-71.26048,158,477,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.9,1000,100,,,,,,,,,,,,,,0.153227118
X,5,18,2023,333,92145,41.37978167,-71.25892833,150,476,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.7,1000,100,,,,,,,,,,,,,,0.151394715
X,5,18,2023,334,92150,41.377625,-71.25716667,148,471,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.8,1000,100,,,,,,,,,,,,,,0.151874756
X,5,18,2023,335,92155,41.375465,-71.25526333,146,466,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,1000,100,,,,,,,,,,,,,,0.155473846
X,5,18,2023,336,92200,41.373335,-71.25323833,144,460,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.3,1000,100,,,,,,,,,,,,,,0.157095055
S,5,18,2023,337,92201,41.37283806,-71.2527278,143,459,1,-,,5,,,2,1,C,2,,,FV-U,1,,,1,9,0,,,,,,,,,,,,,,,,,,,,113.1,1000,100,,,,,,,,,,,,,,0.037674026
X,5,18,2023,338,92205,41.37126,-71.25110667,142,456,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.5,1000,100,,,,,,,,,,,,,,0.157307868
X,5,18,2023,339,92210,41.369205,-71.24897167,142,453,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.8,1000,100,,,,,,,,,,,,,,0.156452752
S,5,18,2023,340,92213,41.36801384,-71.24774468,142,453,1,-,,5,,,2,1,C,3,,,MV-O,1,,,1,9,0,,,,,,,,,,,,,,,,,,,,112.2,1000,100,,,,,,,,,,,,,,0.090395942
X,5,18,2023,341,92215,41.36715333,-71.24685833,142,453,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.8,1000,100,,,,,,,,,,,,,,0.155697836
X,5,18,2023,342,92220,41.36511,-71.24479167,143,449,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.6,1000,100,,,,,,,,,,,,,,0.154023695
X,5,18,2023,343,92225,41.36309667,-71.24267,141,444,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.9,1000,100,,,,,,,,,,,,,,0.154119719
X,5,18,2023,344,92230,41.36105,-71.24057833,143,438,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.4,1000,100,,,,,,,,,,,,,,0.154869735
X,5,18,2023,345,92230,41.36105,-71.24057833,143,438,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.4,1000,100,,,,,,,,,,,,,,0
X,5,18,2023,346,92235,41.35898667,-71.23854,143,441,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,1000,100,,,,,,,,,,,,,,0.154223231
X,5,18,2023,347,92240,41.35699667,-71.23649667,142,442,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.8,1000,100,,,,,,,,,,,,,,0.150848452
X,5,18,2023,348,92245,41.35497833,-71.23455,145,442,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.7,1000,100,,,,,,,,,,,,,,0.149605454
X,5,18,2023,349,92250,41.352805,-71.23292333,153,444,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5,1000,100,,,,,,,,,,,,,,0.149672214
X,5,18,2023,350,92255,41.35049833,-71.23173833,161,447,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.9,1000,100,,,,,,,,,,,,,,0.148434742
X,5,18,2023,351,92300,41.34811667,-71.23096833,168,450,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.9,1000,100,,,,,,,,,,,,,,0.147147653
X,5,18,2023,352,92305,41.34567333,-71.230545,174,452,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.6,1000,100,,,,,,,,,,,,,,0.147934602
X,5,18,2023,353,92310,41.34323,-71.23039333,178,453,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.4,1000,100,,,,,,,,,,,,,,0.14685806
X,5,18,2023,354,92315,41.34077667,-71.23046667,182,449,1,-,,5,,,2,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3,1000,100,,,,,,,,,,,,,,0.147336343
