"eventno","rectype","month","day","year","time","lat","long","heading","alt","legtype","legstage","legno","visiblty","glarel","glarer","beaufort","cloud","wx","sightno","anglel","angler","speccode","number","numcalf","anhead","photos","idrel","confidnc","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","refno","stratum","utc","radalt","gpsspeed","setalt","setvel","lensfl","ggf","int","gpsq","gpssats","roll","pitch","yaw","maghead","notes","edits","glarev","ph_qual","TrackDist"
906,"S",7,25,2023,93221,41.39526437,-71.18381746,216,512,1,"-","",5,"","",2,2,"H","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",102.6,1000,100,"","","","","","","","","","","","","",0.09645449
907,"X",7,25,2023,93222,41.39463833,-71.1844,217,512,1,"-","",5,"","",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",102.3,1000,100,"","","","","","","","","","","","","",0.142294008
908,"X",7,25,2023,93227,41.39281333,-71.18638833,221,503,1,"-","",5,"","",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",102.3,1000,100,"","","","","","","","","","","","","",0.141516514
909,"X",7,25,2023,93232,41.39103333,-71.18846833,222,499,1,"-","",5,"","",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",102.4,1000,100,"","","","","","","","","","","","","",0.14212384
910,"X",7,25,2023,93237,41.38928833,-71.190575,223,494,1,"-","",5,"","",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.8,1000,100,"","","","","","","","","","","","","",0.141355697
911,"X",7,25,2023,93237,41.38928833,-71.190575,223,494,1,"-","",5,"","",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.8,1000,100,"","","","","","","","","","","","","",0
912,"X",7,25,2023,93242,41.387585,-71.19273167,224,489,1,"-","",5,"","",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.6,1000,100,"","","","","","","","","","","","","",0.141054917
913,"X",7,25,2023,93247,41.38592,-71.19493167,225,488,1,"-","",5,"","",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101,1000,100,"","","","","","","","","","","","","",0.140764357
914,"X",7,25,2023,93252,41.38426833,-71.19711333,225,486,1,"-","",5,"","",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.2,1000,100,"","","","","","","","","","","","","",0.139616184
915,"X",7,25,2023,93257,41.382605,-71.199265,224,483,1,"-","",5,"","",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.6,1000,100,"","","","","","","","","","","","","",0.139171733
916,"X",7,25,2023,93302,41.38091833,-71.20141,224,477,1,"-","",5,"","",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.3,1000,100,"","","","","","","","","","","","","",0.139974647
