"rectype","month","day","year","eventno","time","lat","long","heading","alt","legtype","legstage","legno","visiblty","glarel","glarer","beaufort","cloud","wx","sightno","anglel","angler","speccode","number","numcalf","anhead","photos","idrel","confidnc","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","refno","stratum","utc","radalt","gpsspeed","setalt","setvel","lensfl","ggf","int","gpsq","gpssats","roll","pitch","yaw","maghead","notes","edits","glarev","ph_qual","TrackDist"
"S","","","",1185,32633.7000000477,44.092387333613,-68.4115761884651,58,312,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",128.4,1500,100,"","","","","","","","","","","ON WATCH, BEGIN SURVEY - ","","","0.1107972493"
"X","","","",1186,32635.5999999046,44.0929883333333,-68.4102516666667,58,314,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",127.3,1500,100,"","","","","","","","","","","","","","0.1783569397"
"X","","","",1187,32640.5999999046,44.0944883333333,-68.4067983333333,59,319,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",124.3,1500,100,"","","","","","","","","","","","","","0.1740277895"
"X","","","",1188,32640.5999999046,44.0944883333333,-68.4067983333333,59,319,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",124.3,1500,100,"","","","","","","","","","","","","","0"
"X","","","",1189,32645.5999999046,44.0959466666667,-68.403395,60,325,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",122.5,1500,100,"","","","","","","","","","","","","","0.1708881748"
"X","","","",1190,32650.5999999046,44.097295,-68.40002,61,328,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",119,1500,100,"","","","","","","","","","","","","","0.1665284702"
"X","","","",1191,32655.5999999046,44.0986116666667,-68.396675,61,322,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",118.5,1500,100,"","","","","","","","","","","","","","0.1644741557"
"X","","","",1192,32660.5999999046,44.0999716666667,-68.3933316666667,60,312,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",120.7,1500,100,"","","","","","","","","","","","","","0.1656750006"
"X","","","",1193,32665.5999999046,44.1014033333333,-68.3899783333333,58,308,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",121.2,1500,100,"","","","","","","","","","","","","","0.1682050456"
"X","","","",1194,32670.5999999046,44.1029116666667,-68.3867133333333,57,309,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",120.1,1500,100,"","","","","","","","","","","","","","0.167384822"
"X","","","",1195,32670.5999999046,44.1029116666667,-68.3867133333333,57,309,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",120.1,1500,100,"","","","","","","","","","","","","","0"
"X","","","",1196,32675.5999999046,44.1044366666667,-68.3835116666667,57,314,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",118.7,1500,100,"","","","","","","","","","","","","","0.1656430509"
"X","","","",1197,32680.5999999046,44.1059166666667,-68.38036,56,329,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",114.7,1500,100,"","","","","","","","","","","","","","0.1623537255"
"X","","","",1198,32685.5999999046,44.107385,-68.3773416666667,56,336,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",112.5,1500,100,"","","","","","","","","","","","","","0.1571775586"
"X","","","",1199,32690.5999999046,44.108815,-68.3743583333333,58,344,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",110.5,1500,100,"","","","","","","","","","","","","","0.1546384314"
"X","","","",1200,32695.5999999046,44.1098933333333,-68.3712633333333,71,354,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",106.5,1500,100,"","","","","","","","","","","","","","0.148303507"
"X","","","",1201,32700.5999999046,44.1101916666667,-68.3681016666667,89,358,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.4,1500,100,"","","","","","","","","","","","","","0.1374692151"
"X","","","",1202,32700.5999999046,44.1101916666667,-68.3681016666667,89,358,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.4,1500,100,"","","","","","","","","","","","","","0"
"X","","","",1203,32705.5999999046,44.1099333333333,-68.3650566666667,101,360,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.9,1500,100,"","","","","","","","","","","","","","0.1321809678"
"X","","","",1204,32710.5999999046,44.1092833333333,-68.36218,111,355,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.8,1500,100,"","","","","","","","","","","","","","0.1300078166"
"X","","","",1205,32715.5999999046,44.1081466666667,-68.359435,125,342,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",99.8,1500,100,"","","","","","","","","","","","","","0.1366064685"
"X","","","",1206,32720.5999999046,44.1066716666667,-68.356955,132,336,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.7,1500,100,"","","","","","","","","","","","","","0.1388301616"
"X","","","",1207,32725.5999999046,44.1050716666667,-68.3547133333333,137,332,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.2,1500,100,"","","","","","","","","","","","","","0.136265923"
"X","","","",1208,32730.5999999046,44.10331,-68.3526916666667,143,328,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.3,1500,100,"","","","","","","","","","","","","","0.1370571058"
"X","","","",1209,32735.5999999046,44.1014316666667,-68.3508016666667,146,324,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.6,1500,100,"","","","","","","","","","","","","","0.1391351231"
"X","","","",1210,32740.5999999046,44.0995,-68.349005,146,324,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.3,1500,100,"","","","","","","","","","","","","","0.1394698927"
"X","","","",1211,32745.5999999046,44.0975783333333,-68.3471533333333,145,320,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.9,1500,100,"","","","","","","","","","","","","","0.1403081823"
"X","","","",1212,32750.5999999046,44.0956433333333,-68.3452566666667,146,318,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",102.3,1500,100,"","","","","","","","","","","","","","0.1420766754"
"X","","","",1213,32755.5999999046,44.0936683333333,-68.3434733333333,147,323,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.5,1500,100,"","","","","","","","","","","","","","0.1413313062"
"X","","","",1214,32760.5999999046,44.0917166666667,-68.34179,148,331,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98,1500,100,"","","","","","","","","","","","","","0.1378405527"
"X","","","",1215,32765.5999999046,44.08983,-68.34005,146,327,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.1,1500,100,"","","","","","","","","","","","","","0.1358739294"
"X","","","",1216,32770.5999999046,44.08792,-68.338275,147,324,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.7,1500,100,"","","","","","","","","","","","","","0.1378775953"
"P","","","",1217,32775,44.0861849275954,-68.3367806997761,149,330,1,"-","",5,"","",2,4,"G","S1","","","FV-C","3","","","1","9","0","","","","","","","","","","","","","","","","","","","",100.8,1500,100,"","","","","","","","","","","","","","0.1224960149"
"X","","","",1218,32775.5999999046,44.0859383333333,-68.3365683333333,149,330,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.8,1500,100,"","","","","","","","","","","","","","0.1399054445"
"X","","","",1219,32780.5999999046,44.0839333333333,-68.3350783333333,152,334,1,"-","",5,"","",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.2,1500,100,"","","","","","","","","","","","","","0.1364587106"
"S","","","",1220,32781.4000000954,44.0836138609976,-68.3348481796133,152,334,2,"1","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.3,1500,100,"","","","","","","","","","","ON TRACK - ","","","0.0215974513"
"X","","","",1221,32785.5999999046,44.0819066666667,-68.3336183333333,152,337,2,"1","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",99.2,1500,100,"","","","","","","","","","","","","","0.1370092512"
"X","","","",1222,32787,44.0813385511515,-68.3332167722252,152,340,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.3,1500,100,"","","","","","","","","","","","","","0.0382550122"
"X","","","",1223,32790.5999999046,44.0799,-68.3322,153,348,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.8,1500,100,"","","","","","","","","","","","","","0.1351218461"
"X","","","",1224,32790.5999999046,44.0799,-68.3322,153,348,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.8,1500,100,"","","","","","","","","","","","","","0"
"S","","","",1225,32790.5999999046,44.0798807267025,-68.3321869717454,153,348,2,"2","131",5,"2","2",2,4,"G","S2","","","FV-C","1","","","1","9","0","","","","","","","","","","","","","","","","","","","",95.8,1500,100,"","","","","","","","","","","","","","0.0012863982"
"X","","","",1226,32795.5999999046,44.077925,-68.330865,154,352,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.8,1500,100,"","","","","","","","","","","","","","0.1318210576"
"X","","","",1227,32800.5999999046,44.0759233333333,-68.32953,154,351,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",96,1500,100,"","","","","","","","","","","","","","0.1332639827"
"X","","","",1228,32805.5999999046,44.073955,-68.328105,151,353,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",96.4,1500,100,"","","","","","","","","","","","","","0.1332090344"
"X","","","",1229,32810.5999999046,44.0720566666667,-68.3266433333333,151,356,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.3,1500,100,"","","","","","","","","","","","","","0.1302540915"
"X","","","",1230,32815.5999999046,44.0701333333333,-68.3252433333333,152,354,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.7,1500,100,"","","","","","","","","","","","","","0.1303165909"
"X","","","",1231,32820.5999999046,44.06818,-68.32384,155,349,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.3,1500,100,"","","","","","","","","","","","","","0.1319821482"
"X","","","",1232,32820.5999999046,44.06818,-68.32384,155,349,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.3,1500,100,"","","","","","","","","","","","","","0"
"X","","","",1233,32825.5999999046,44.0661416666667,-68.3225683333333,156,340,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",97.4,1500,100,"","","","","","","","","","","","","","0.1341161224"
"S","","","",1234,32830.2000000477,44.0642139245582,-68.3214101485128,157,334,2,"2","131",5,"2","2",2,4,"G","S3","","","FV-C","2","","","1","9","0","","","","","","","","","","","","","","","","","","","",98.8,1500,100,"","","","","","","","","","","","","","0.1260673409"
"X","","","",1235,32830.5999999046,44.06405,-68.3213116666667,157,333,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",99,1500,100,"","","","","","","","","","","","","","0.136787377"
"X","","","",1236,32835.5999999046,44.0619416666667,-68.32004,156,335,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",99.9,1500,100,"","","","","","","","","","","","","","0.1379635006"
"X","","","",1237,32840.5999999046,44.0598666666667,-68.3187516666667,156,332,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",97.4,1500,100,"","","","","","","","","","","","","","0.1364217252"
"X","","","",1238,32845.5999999046,44.0577933333333,-68.317405,154,329,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",99.2,1500,100,"","","","","","","","","","","","","","0.1373765937"
"P","","","",1239,32846.2000000477,44.0575614068681,-68.3172462580306,154,329,2,"2","131",5,"2","2",2,4,"G","S4","","","FV-C","4","","","1","9","0","","","","","","","","","","","","","","","","","","","",99,1500,100,"","","","","","","","","","","","","","0.0155183103"
"X","","","",1240,32850.5999999046,44.05576,-68.3160133333333,153,330,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",97.3,1500,100,"","","","","","","","","","","","","","0.1360508012"
"X","","","",1241,32855.5999999046,44.053715,-68.3146383333333,155,329,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.7,1500,100,"","","","","","","","","","","","","","0.1363661838"
"X","","","",1242,32860.5999999046,44.0515883333333,-68.3133533333333,157,322,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",99.7,1500,100,"","","","","","","","","","","","","","0.1392061087"
"X","","","",1243,32865.5999999046,44.04945,-68.3120233333333,155,316,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",103,1500,100,"","","","","","","","","","","","","","0.1406309458"
"X","","","",1244,32870.5999999046,44.0473016666667,-68.3106366666667,155,311,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",102.1,1500,100,"","","","","","","","","","","","","","0.1421918378"
"X","","","",1245,32875.5999999046,44.04515,-68.3092233333333,154,304,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",103.3,1500,100,"","","","","","","","","","","","","","0.1428618543"
"P","","","",1246,32878.2000000477,44.0440161895647,-68.30850371861,154,305,2,"2","131",5,"2","2",2,4,"G","S5","","","FV-C","1","","","1","9","0","","","","","","","","","","","","","","","","","","","",102.3,1500,100,"","","","","","","","","","","","","","0.0748240533"
"X","","","",1247,32880.5999999046,44.0429966666667,-68.3078566666667,155,305,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.5,1500,100,"","","","","","","","","","","","","","0.1421056241"
"X","","","",1248,32880.5999999046,44.0429966666667,-68.3078566666667,155,305,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.5,1500,100,"","","","","","","","","","","","","","0"
"X","","","",1249,32885.5999999046,44.040865,-68.3065283333333,156,308,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.8,1500,100,"","","","","","","","","","","","","","0.1402396063"
"X","","","",1250,32890.5999999046,44.03873,-68.3052466666667,156,313,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",99.7,1500,100,"","","","","","","","","","","","","","0.1396128945"
"S","","","",1251,32893,44.0377162727475,-68.3046315746444,156,315,2,"2","131",5,"2","2",2,4,"G","S6","","","FV-C","1","","","1","9","0","","","","","","","","","","","","","","","","","","","",99.5,1500,100,"","","","","","","","","","","","","","0.0664027288"
"X","","","",1252,32895.5999999046,44.0366066666667,-68.3039583333333,157,316,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",99.2,1500,100,"","","","","","","","","","","","","","0.139085613"
"X","","","",1253,32900.5999999046,44.0344966666667,-68.3026916666667,156,311,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.6,1500,100,"","","","","","","","","","","","","","0.1379797688"
"X","","","",1254,32905.5999999046,44.0323533333333,-68.301405,157,304,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.8,1500,100,"","","","","","","","","","","","","","0.1401601536"
"X","","","",1255,32910.5999999046,44.0301733333333,-68.300145,158,304,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.1,1500,100,"","","","","","","","","","","","","","0.1417391981"
"X","","","",1256,32915.5999999046,44.0279883333333,-68.2989533333333,159,304,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.3,1500,100,"","","","","","","","","","","","","","0.1409138048"
"X","","","",1257,32920.5999999046,44.0257983333333,-68.297795,159,304,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.6,1500,100,"","","","","","","","","","","","","","0.1406761058"
"X","","","",1258,32925.5999999046,44.0236483333333,-68.2965733333333,157,301,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",99.8,1500,100,"","","","","","","","","","","","","","0.1394456171"
"X","","","",1259,32930.5999999046,44.0215216666667,-68.2952683333333,155,298,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.1,1500,100,"","","","","","","","","","","","","","0.1395636528"
"X","","","",1260,32935.5999999046,44.0194066666667,-68.2938483333333,153,300,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.6,1500,100,"","","","","","","","","","","","","","0.1410106208"
"S","","","",1261,32935.7999999523,44.0193253258644,-68.2937928951381,154,300,2,"2","131",5,"2","2",2,4,"G","S7","","","FV-C","1","","","1","9","0","","","","","","","","","","","","","","","","","","","",100.6,1500,100,"","","","","","","","","","","","","","0.0054387557"
"X","","","",1262,32940.5999999046,44.0173133333333,-68.2924216666667,154,298,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101,1500,100,"","","","","","","","","","","","","","0.1399676645"
"X","","","",1263,32940.5999999046,44.0173133333333,-68.2924216666667,154,298,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101,1500,100,"","","","","","","","","","","","","","0"
"X","","","",1264,32945.5999999046,44.0151883333333,-68.29105,155,292,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.4,1500,100,"","","","","","","","","","","","","","0.1406620876"
"S","","","",1265,32949.5,44.0135413421545,-68.2900022567484,155,293,2,"2","131",5,"2","2",2,4,"G","S8","","","FV-T","1","","","1","9","0","","","","","","","","","","","","","","","","","","","",101.4,1500,100,"","","","","","","","","","","","","","0.1087435877"
"X","","","",1266,32950.5999999046,44.0130583333333,-68.289695,155,294,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",101.3,1500,100,"","","","","","","","","","","","","","0.1406344171"
"X","","","",1267,32955.5999999046,44.0109583333333,-68.28835,155,301,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98,1500,100,"","","","","","","","","","","","","","0.1388181673"
"X","","","",1268,32960.5999999046,44.0089183333333,-68.2870366666667,155,303,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",96.7,1500,100,"","","","","","","","","","","","","","0.1349751851"
"X","","","",1269,32965.5999999046,44.0068633333333,-68.2857233333333,156,301,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.5,1500,100,"","","","","","","","","","","","","","0.1357937811"
"X","","","",1270,32970.5999999046,44.0047883333333,-68.284425,156,305,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.6,1500,100,"","","","","","","","","","","","","","0.1366194571"
"X","","","",1271,32975.5999999046,44.00273,-68.2831166666667,155,313,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",97.8,1500,100,"","","","","","","","","","","","","","0.1358873702"
"X","","","",1272,32980.5999999046,44.0007133333333,-68.2817583333333,154,321,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.9,1500,100,"","","","","","","","","","","","","","0.1345444855"
"X","","","",1273,32985.5999999046,43.998715,-68.2803666666667,153,314,2,"2","131",5,"2","2",2,4,"G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.1,1500,100,"","","","","","","","","","","","","","0.1341942414"
