"TrkTime..EDT.","TrkLatitude","TrkLongitude","TrkAltitude..m.","HeadingPlatMagnetic..T.","HeadingPlatTrue..T.","PlatformSpeed..kts.","TrkDist..nm.","month","day","year","eventno","legtype","legstage","legno","glarel","glarer","beaufort","cloud","wx","visiblty","effort_edits","rectypeEFFORT","rectype","sightno","angle","speccode","number","numcalf","anhead","photos","idrel","confidnc","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","edits","notes","refno","stratum","utc","radalt","gpsspeed","setalt","setvel","lensfl","ggf","int","gpsq","gpssats","roll","pitch","yaw","maghead","glarev","ph_qual"
"123255",41.67236,-70.96058167,9.1,345,0,0.07,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123257",41.672355,-70.96058333,8.2,345,0,0.02,0.000309368,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123259",41.67235,-70.96058333,7.9,345,0,0.02,0.000300202,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123301",41.672345,-70.96058,8.1,345,0,0.05,0.000335365,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123303",41.672365,-70.960585,10.8,345,0,0.02,0.001221567,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123305",41.67238,-70.96058833,13.4,345,0,0.01,0.00091293,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123307",41.67238833,-70.96058833,15.1,345,0,0.01,0.000500337,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123309",41.67239833,-70.960585,17,345,0,0,0.000618736,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123311",41.672405,-70.96058333,18.1,345,0,0.01,0.000407189,5,3,2024,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123313",41.67240833,-70.96058167,18.7,345,0,0.01,0.000213637,5,3,2024,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123315",41.67240833,-70.96058,19.2,345,0,0.01,7.47462e-05,5,3,2024,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
