"rectype","month","day","year","eventno","time","lat","long","heading","alt","legtype","legstage","legno","visiblty","glarel","glarer","beaufort","cloud","wx","sightno","anglel","angler","speccode","number","numcalf","anhead","photos","idrel","confidnc","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","refno","stratum","utc","radalt","gpsspeed","setalt","setvel","lensfl","ggf","int","gpsq","gpssats","roll","pitch","yaw","maghead","notes","edits","glarev","ph_qual","TrackDist"
"S",5,20,2024,2734,125437,42.9757226561358,-70.7042376747466,25,317,1,"-","",4,"","",2,1,"P","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.5,1000,100,"","","","","","","","","","","ON WATCH, BEGIN SURVEY - ","","",0.0481164693
"X",5,20,2024,2735,125438,42.9762383333333,-70.7039166666667,24,317,1,"-","",4,"","",2,1,"P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.7,1000,100,"","","","","","","","","","","","","",0.0821379178
"X",5,20,2024,2736,125440,42.9770716666667,-70.70341,24,316,1,"-","",4,"","",2,1,"P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.5,1000,100,"","","","","","","","","","","","","",0.0547606483
"X",5,20,2024,2737,125442,42.9779066666667,-70.7029016666667,24,315,1,"-","",4,"","",2,1,"P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.9,1000,100,"","","","","","","","","","","","","",0.054881717
"X",5,20,2024,2738,125444,42.978745,-70.702385,24,315,1,"-","",4,"","",2,1,"P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",99.5,1000,100,"","","","","","","","","","","","","",0.0552139266
"X",5,20,2024,2739,125446,42.9791666666667,-70.702125,24,315,1,"-","",4,"","",2,1,"P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",99.9,1000,100,"","","","","","","","","","","","","",0.0277738429
"X",5,20,2024,2740,125448,42.9804283333333,-70.7013216666667,25,314,1,"-","",4,"","",2,1,"P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.2,1000,100,"","","","","","","","","","","","","",0.0835665347
"X",5,20,2024,2741,125450,42.9812666666667,-70.7007683333333,26,314,1,"-","",4,"","",2,1,"P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.6,1000,100,"","","","","","","","","","","","","",0.0558948184
"X",5,20,2024,2742,125452,42.9821066666667,-70.7002083333333,26,314,1,"-","",4,"","",2,1,"P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.7,1000,100,"","","","","","","","","","","","","",0.0561125471
"X",5,20,2024,2743,125454,42.982945,-70.6996416666667,26,315,1,"-","",4,"","",2,1,"P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",100.6,1000,100,"","","","","","","","","","","","","",0.056151658
