rectype,month,day,year,eventno,time,lat,long,heading,alt,legtype,legstage,legno,visiblty,glarel,glarer,beaufort,cloud,wx,sightno,strip,speccode,number,numcalf,anhead,photos,idrel,confidnc,behav1,behav2,behav3,behav4,behav5,behav6,behav7,behav8,behav9,behav10,behav11,behav12,behav13,behav14,behav15,psightings,ssightings,pnum,snum,legflag,view,refno,stratum,utc,radalt,gpsspeed,setalt,setvel,lensfl,ggf,int,gpsq,gpssats,roll,pitch,yaw,maghead,notes,edits,glarev,ph_qual
"Z","03","23",2022,1,"090309",41.6730,-70.9602,355,22," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",0,0,"","","/",F,1,"","","","000.5",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,2,"090318",41.6730,-70.9602,352,22," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",0,0,"","","/",F,2,"","","","000.0",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,3,"090322",41.6730,-70.9602,339,22," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",0,0,"","","/",F,3,"","","","000.2",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,4,"090326",41.6730,-70.9602,354,21," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",0,0,"","","/",F,4,"","","","000.2",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,5,"090330",41.6730,-70.9602,353,21," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",0,0,"","","/",F,5,"","","","000.0",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,6,"090334",41.6730,-70.9602,338,21," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",0,0,"","","/",F,6,"","","","000.4",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,7,"090342",41.6730,-70.9602,351,22," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",0,0,"","","/",F,7,"","","","000.1",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,8,"090346",41.6730,-70.9602,349,23," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",0,0,"","","/",T,8,"","","","000.1",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,9,"090350",41.6730,-70.9602,349,25," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,0,"","","/",T,10,"","","","000.1",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,10,"090354",41.6730,-70.9602,4,25," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,0,"","","/",T,11,"","","","000.1",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,11,"090403",41.6730,-70.9602,326,24," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",T,13,"","","","000.4",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,12,"090407",41.6730,-70.9602,335,23," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,14,"","","","000.1",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,13,"090411",41.6730,-70.9602,341,23," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,15,"","","","000.2",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,14,"090415",41.6730,-70.9602,333,23," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,16,"","","","000.3",1000,100,85,5,5.00,"3","8","","","","","",""," ",""
"Z","03","23",2022,15,"090419",41.6730,-70.9602,336,24," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,17,"","","","000.0",1000,100,85,5,5.00,"3","9","","","","","",""," ",""
"Z","03","23",2022,16,"090427",41.6730,-70.9602,340,25," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,18,"","","","000.6",1000,100,85,5,5.00,"3","9","","","","","",""," ",""
"Z","03","23",2022,17,"090431",41.6730,-70.9602,339,24," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,19,"","","","000.2",1000,100,85,5,5.00,"3","9","","","","","",""," ",""
"Z","03","23",2022,18,"090435",41.6730,-70.9602,310,23," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,20,"","","","000.2",1000,100,85,5,5.00,"3","10","","","","","",""," ",""
"Z","03","23",2022,19,"090440",41.6730,-70.9602,325,23," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,21,"","","","000.5",1000,100,85,5,5.00,"3","10","","","","","",""," ",""
"Z","03","23",2022,20,"090448",41.6730,-70.9602,341,24," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,22,"","","","000.0",1000,100,85,5,5.00,"3","10","","","","","",""," ",""
"Z","03","23",2022,21,"090452",41.6730,-70.9602,331,25," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,23,"","","","000.0",1000,100,85,5,5.00,"3","10","","","","","",""," ",""
"Z","03","23",2022,22,"090456",41.6730,-70.9602,348,26," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,24,"","","","000.2",1000,100,85,5,5.00,"3","10","","","","","",""," ",""
"Z","03","23",2022,23,"090500",41.6730,-70.9602,0,26," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,25,"","","","000.0",1000,100,85,5,5.00,"3","10","","","","","",""," ",""
"Z","03","23",2022,24,"090504",41.6730,-70.9602,343,26," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,26,"","","","000.1",1000,100,85,5,5.00,"3","10","","","","","",""," ",""
"Z","03","23",2022,25,"090512",41.6730,-70.9602,349,26," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,27,"","","","000.1",1000,100,85,5,5.00,"3","10","","","","","",""," ",""
"Z","03","23",2022,26,"090516",41.6730,-70.9602,356,26," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,28,"","","","000.3",1000,100,85,5,5.00,"3","10","","","","","",""," ",""
"Z","03","23",2022,27,"090521",41.6730,-70.9602,351,25," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,29,"","","","000.3",1000,100,85,5,5.00,"3","9","","","","","",""," ",""
"Z","03","23",2022,28,"090525",41.6730,-70.9602,356,28," "," ","",""," "," "," ",""," ","","","","","",""," "," ","","","","","","","","","","","","","","","","",1,1,"","","/",F,30,"","","","000.4",1000,100,85,5,5.00,"3","10","","","","","",""," ",""
