rectype,month,day,year,eventno,time,lat,long,heading,alt,legtype,legstage,legno,visiblty,glarel,glarer,beaufort,cloud,wx,sightno,anglel,angler,speccode,number,numcalf,anhead,photos,idrel,confidnc,behav1,behav2,behav3,behav4,behav5,behav6,behav7,behav8,behav9,behav10,behav11,behav12,behav13,behav14,behav15,refno,stratum,utc,radalt,gpsspeed,setalt,setvel,lensfl,ggf,int,gpsq,gpssats,roll,pitch,yaw,maghead,notes,edits,glarev,ph_qual
S,3,23,2022,346,93101,41.3974,-71.1676,231,310,1,-,,5, , ,4,1,C,3,,,,,,, , ,,,,,,,,,,,,,,,,,348,,,,116.4,1000,100,85,5,5,3,10,,,,,GOING ON WATCH,, ,
X,3,23,2022,347,93103,41.3965,-71.1691,230,309,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,349,,,,113.9,1000,100,85,5,5,3,10,,,,,,, ,
X,3,23,2022,348,93108,41.3947,-71.1721,231,303,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,350,,,,111.5,1000,100,85,5,5,3,10,,,,,,, ,
X,3,23,2022,349,93113,41.3933,-71.1745,232,307,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,351,,,,107.1,1000,100,85,5,5,3,10,,,,,,, ,
X,3,23,2022,350,93118,41.3916,-71.1773,232,305,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,352,,,,105.1,1000,100,85,5,5,3,10,,,,,,, ,
X,3,23,2022,351,93123,41.3902,-71.1799,233,306,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,353,,,,103.5,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,352,93128,41.3887,-71.1825,232,306,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,354,,,,103.7,1000,100,85,5,5,3,9,,,,,,, ,
Z,3,23,2022,353,93129,41.3885,-71.1829,232,306,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,355,,,,103.9,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,354,93133,41.3874,-71.1848,232,305,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,356,,,,104.2,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,355,93138,41.3858,-71.1875,232,304,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,357,,,,104.3,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,356,93143,41.3843,-71.19,232,302,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,358,,,,103.2,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,357,93148,41.3829,-71.1925,233,305,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,359,,,,100.9,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,358,93153,41.3815,-71.195,233,304,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,360,,,,101.7,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,359,93158,41.3802,-71.1974,233,305,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,361,,,,100.8,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,360,93203,41.3787,-71.2,234,304,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,363,,,,100.2,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,361,93208,41.3778,-71.2018,234,303,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,364,,,,100.1,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,362,93213,41.3761,-71.2049,234,302,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,365,,,,100.8,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,363,93218,41.3747,-71.2076,235,299,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,366,,,,100.9,1000,100,85,5,5,3,9,,,,,,, ,
Z,3,23,2022,364,93219,41.3745,-71.208,234,298,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,367,,,,100.8,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,365,93223,41.3734,-71.2101,234,297,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,368,,,,101.7,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,366,93228,41.372,-71.2127,234,293,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,369,,,,102.9,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,367,93233,41.3706,-71.2153,234,295,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,370,,,,101.9,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,368,93238,41.3693,-71.2178,234,297,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,371,,,,101.3,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,369,93243,41.3679,-71.2204,236,296,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,372,,,,102,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,370,93248,41.3666,-71.223,237,308,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,373,,,,99.8,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,371,93253,41.3654,-71.2256,237,313,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,374,,,,100.1,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,372,93258,41.3641,-71.2282,236,311,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,375,,,,102.2,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,373,93303,41.3629,-71.2306,236,308,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,376,,,,104.4,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,374,93308,41.3615,-71.2335,235,310,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,377,,,,105.1,1000,100,85,5,5,3,9,,,,,,, ,
Z,3,23,2022,375,93309,41.3614,-71.2337,235,311,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,378,,,,105.2,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,376,93313,41.3601,-71.236,233,313,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,379,,,,105.5,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,377,93318,41.3586,-71.2387,233,316,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,380,,,,104.4,1000,100,85,5,5,3,9,,,,,,, ,
Z,3,23,2022,378,93321,41.3578,-71.2402,233,320,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,381,,,,103.9,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,379,93323,41.3571,-71.2413,233,321,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,382,,,,103.8,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,380,93328,41.3557,-71.2439,233,320,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,383,,,,106.6,1000,100,85,5,5,3,9,,,,,,, ,
X,3,23,2022,381,93333,41.3542,-71.2466,234,316,1,-,,5, , ,4,1,C,,,,,,,, , ,,,,,,,,,,,,,,,,,384,,,,108.9,1000,100,85,5,5,3,9,,,,,,, ,
