rectype,month,day,year,eventno,time,lat,long,heading,alt,legtype,legstage,legno,visiblty,glarel,glarer,beaufort,cloud,wx,sightno,anglel,angler,speccode,number,numcalf,anhead,photos,idrel,confidnc,behav1,behav2,behav3,behav4,behav5,behav6,behav7,behav8,behav9,behav10,behav11,behav12,behav13,behav14,behav15,refno,stratum,utc,radalt,gpsspeed,setalt,setvel,lensfl,ggf,int,gpsq,gpssats,roll,pitch,yaw,maghead,notes,edits,glarev,ph_qual
S,4,25,2022,1926,112518,42.2429,-70.7097,10,764,0,-,,5, , ,3,3,C,1,,,RIWH,2,,,1,3,0,54,,,,,,,,,,,,,,,1931,,,,121.2,1000,100,85,5,5,N,10,,,,,OFF WATCH; SKIM FEEDING,, ,
P,4,25,2022,1961,112804,42.3397,-70.708,1,749,0,-,,5, , ,3,3,C,2,,,RIWH,1,,,1,3,0,54,,,,,,,,,,,,,,,1966,,,,125.1,1000,100,85,5,5,3,10,,,,,OFF WATCH; SKIM FEEDING,, ,
S,4,25,2022,1969,112841,42.3606,-70.7069,8,764,0,-,,5, , ,3,3,C,3,,,RIWH,1,,,1,3,0,54,,,,,,,,,,,,,,,1974,,,,118.5,1000,100,85,5,5,3,10,,,,,OFF WATCH; SUBSURFACE FEEDING,, ,
P,4,25,2022,1980,112929,42.3889,-70.7074,356,736,0,-,,5, , ,3,3,C,62,,,HUWH,1,,,1,3,0,,,,,,,,,,,,,,,,1985,,,,125.7,1000,100,85,5,5,3,10,,,,,OFF WATCH,, ,
S,4,25,2022,1982,112934,42.3914,-70.7077,354,734,0,-,,5, , ,3,3,C,63,,,FIWH,1,,,1,3,0,,,,,,,,,,,,,,,,1987,,,,126.1,1000,100,85,5,5,3,10,,,,,OFF WATCH,, ,
S,4,25,2022,1997,113046,42.4331,-70.7098,356,663,0,-,,5, , ,3,3,C,64,,,RIWH,1,,,1,3,0,54,,,,,,,,,,,,,,,2002,,,,138.4,1000,100,85,5,5,N,10,,,,,OFF WATCH; SKIM FEEDING,, ,
S,4,25,2022,2447,125334,42.5743,-70.5408,77,442,1,-,,5, , ,2,3,C,67,,,,,,, , ,,,,,,,,,,,,,,,,,2453,,,,105.8,1000,100,85,5,5,3,9,,,,,GOING ON WATCH; ON WAY TO FIRST MASS BAY CALIBRATION SURVEY LINE,, ,
X,4,25,2022,2448,125338,42.5745,-70.5375,94,445,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2454,,,,104.1,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2449,125343,42.574,-70.5345,109,453,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2455,,,,101.9,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2450,125348,42.573,-70.5316,118,464,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2456,,,,98.5,1000,100,85,5,5,3,9,,,,,,, ,
Z,4,25,2022,2451,125350,42.5726,-70.5308,120,466,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2457,,,,98,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2452,125353,42.5718,-70.5289,123,467,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2458,,,,97.9,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2453,125358,42.5704,-70.5265,131,465,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2459,,,,98.1,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2454,125403,42.5688,-70.5243,139,463,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2460,,,,98.6,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2455,125408,42.567,-70.5224,144,460,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2461,,,,99.6,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2456,125413,42.5652,-70.5209,150,458,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2462,,,,99.8,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2457,125418,42.5631,-70.5194,154,461,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2463,,,,98.4,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2458,125423,42.561,-70.5182,160,458,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2464,,,,98.7,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2459,125428,42.5586,-70.5174,171,450,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2465,,,,101.5,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2460,125433,42.5563,-70.5172,180,447,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2466,,,,102.9,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2461,125438,42.554,-70.5172,178,444,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2467,,,,103,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2462,125440,42.5533,-70.5172,179,444,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2468,,,,102.9,1000,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2463,125443,42.5516,-70.5172,182,443,1,-,,5, , ,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2469,,,,103.2,1000,100,85,5,5,3,9,,,,,,, ,
S,4,25,2022,2464,125448,42.5492,-70.5173,181,438,2,1,4,5,1,2,2,3,C,68,,,,,,, , ,,,,,,,,,,,,,,,,,2470,,,,104.3,1500,100,85,5,5,3,9,,,,,BEGIN LINE AT 1500 FT,, ,
X,4,25,2022,2465,125453,42.5467,-70.5173,179,435,2,2,4,5,1,2,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2471,,,,104,1500,100,85,5,5,3,9,,,,,,, ,
X,4,25,2022,2466,125458,42.5443,-70.5172,179,434,2,2,4,5,1,2,2,3,C,,,,,,,, , ,,,,,,,,,,,,,,,,,2472,,,,103.2,1500,100,85,5,5,3,9,,,,,,, ,
