rectype,month,day,year,eventno,time,lat,long,heading,alt,legtype,legstage,legno,visiblty,glarel,glarer,beaufort,cloud,wx,sightno,strip,speccode,number,numcalf,anhead,photos,idrel,confidnc,behav1,behav2,behav3,behav4,behav5,behav6,behav7,behav8,behav9,behav10,behav11,behav12,behav13,behav14,behav15,psightings,ssightings,pnum,snum,legflag,view,refno,stratum,utc,radalt,gpsspeed,setalt,setvel,lensfl,ggf,int,gpsq,gpssats,roll,pitch,yaw,maghead,notes,edits,glarev,ph_qual
S,5,20,2022,444,113050,41.2105,-71.1916,181,299,1,-,,, , , ,, ,3,,,,,, , ,,,,,,,,,,,,,,,,,1,2,,,,T,444,,,,120.4,1000,100,85,5,5,3,10,,,,,,GOING ON WATCH, ,
X,5,20,2022,445,113050,41.21,-71.1916,181,298,1,-,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,1,2,,,,T,445,,,,119.9,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,446,113052,41.209,-71.1916,181,298, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,1,2,,,,F,446,,,,119.3,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,447,113057,41.2062,-71.1916,177,297, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,1,2,,,,F,447,,,,116.8,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,448,113102,41.2036,-71.1913,172,299, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,1,2,,,,F,448,,,,113.6,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,449,113107,41.201,-71.1908,171,302, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,1,2,,,,T,449,,,,111,1000,100,85,5,5,3,10,,,,,,, ,
P,5,20,2022,450,113108,41.201,-71.1908,171,302, , ,,, , , ,, ,4,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,T,450,,,,111,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,451,113108,41.2002,-71.1906,171,302, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,T,451,,,,110.5,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,452,113112,41.1985,-71.1903,171,300, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,F,452,,,,109.3,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,453,113117,41.1961,-71.1898,173,298, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,F,453,,,,106.6,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,454,113122,41.1937,-71.1895,174,300, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,F,454,,,,102.7,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,455,113127,41.1914,-71.1892,174,303, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,F,455,,,,98.9,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,456,113132,41.1891,-71.1889,172,307, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,F,456,,,,95.4,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,457,113137,41.1869,-71.1885,169,315, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,F,457,,,,90.5,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,458,113142,41.1849,-71.1879,166,317, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,F,458,,,,87.8,1000,100,85,5,5,3,10,,,,,,, ,
Z,5,20,2022,459,113143,41.1845,-71.1878,166,317, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,F,459,,,,87.9,1000,100,85,5,5,3,9,,,,,,, ,
X,5,20,2022,460,113147,41.1832,-71.1874,166,314, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,F,460,,,,88.3,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,461,113152,41.1809,-71.1867,168,312, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,F,461,,,,87.9,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,462,113157,41.179,-71.1861,166,313, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,F,462,,,,85.7,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,463,113202,41.1771,-71.1854,166,313, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,2,,,,T,463,,,,84.7,1000,100,85,5,5,3,9,,,,,,, ,
S,5,20,2022,464,113204,41.1766,-71.1853,168,312, , ,,, , , ,, ,5,,,,,, , ,,,,,,,,,,,,,,,,,2,3,,,,T,464,,,,84.6,1000,100,85,5,5,3,9,,,,,,, ,
X,5,20,2022,465,113204,41.1762,-71.1852,169,312, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,3,,,,T,465,,,,84.8,1000,100,85,5,5,3,9,,,,,,, ,
X,5,20,2022,466,113207,41.1751,-71.185,169,308, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,3,,,,F,466,,,,85.6,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,467,113212,41.1732,-71.1845,168,304, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,3,,,,F,467,,,,85.6,1000,100,85,5,5,3,10,,,,,,, ,
X,5,20,2022,468,113217,41.1712,-71.184,169,306, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,3,,,,F,468,,,,84.8,1000,100,85,5,5,3,9,,,,,,, ,
X,5,20,2022,469,113222,41.1693,-71.1837,178,307, , ,,, , , ,, ,,,,,,, , ,,,,,,,,,,,,,,,,,2,3,,,,T,469,,,,84.7,1000,100,85,5,5,3,10,,,,,,, ,
